transaction_id,date,customer_id,account_type,transaction_type,amount,currency,channel,device,city,status,balance_after,fraud_flag
OB000080,7/1/2025,C00076,Savings,Deposit,4461.37,USD,Web,Android,Karachi,Pending,5168.97,0
OB000081,9/1/2025,C00157,Savings,Bill Payment,4577.1,USD,Web,Android,Lahore,Completed,273.02,0
OB000082,4/8/2025,C00236,Current,Deposit,3820.47,USD,Web,Android,Peshawar,Failed,20512.3,0
OB000083,9/12/2025,C00202,Current,Bill Payment,2137.71,USD,Mobile App,Desktop,Lahore,Pending,39149.51,0
OB000084,8/7/2025,C00185,Current,Deposit,2201.53,USD,Mobile App,iOS,Peshawar,Completed,10767.22,1
OB000085,5/13/2025,C00169,Current,Transfer,465.75,USD,Web,Desktop,Karachi,Failed,28539.5,0
OB000086,9/8/2025,C00094,Savings,Deposit,4546.01,USD,Web,Desktop,Lahore,Pending,47597.55,0
OB000087,2/14/2025,C00072,Savings,Deposit,744.92,USD,Mobile App,Android,Peshawar,Completed,35542.4,0
OB000088,2/26/2025,C00273,Savings,Withdrawal,1341.68,USD,Mobile App,Android,Karachi,Failed,17975.88,0
OB000089,8/21/2025,C00248,Savings,Transfer,4648.95,USD,Web,Desktop,Karachi,Pending,34097.54,1
OB000090,2/8/2025,C00082,Savings,Withdrawal,4570.83,USD,Mobile App,Android,Islamabad,Pending,34281.8,0
OB000091,6/9/2025,C00386,Current,Withdrawal,1569.37,USD,Web,Android,Karachi,Completed,42757.34,0
OB000092,2/12/2025,C00209,Savings,Withdrawal,1736.61,USD,Web,Android,Karachi,Pending,11227.15,0
OB000093,6/18/2025,C00170,Savings,Withdrawal,4346.65,USD,Web,Android,Lahore,Pending,5596.79,1
OB000094,6/5/2025,C00020,Current,Bill Payment,4119.66,USD,Web,Desktop,Lahore,Pending,26538.03,0
OB000095,10/1/2025,C00281,Savings,Withdrawal,1530.96,USD,Mobile App,iOS,Karachi,Pending,29292.65,0
OB000096,10/13/2025,C00122,Current,Deposit,3605.34,USD,Web,Android,Karachi,Completed,37672.75,1
OB000097,4/8/2025,C00123,Current,Bill Payment,2017.3,USD,Web,iOS,Karachi,Failed,38380.62,1
OB000098,2/20/2025,C00255,Savings,Bill Payment,4433.99,USD,Web,Desktop,Islamabad,Completed,41675.19,0
OB000099,6/21/2025,C00144,Current,Deposit,1444.61,USD,Mobile App,Desktop,Peshawar,Pending,31799.73,1
OB000100,10/19/2025,C00252,Savings,Withdrawal,1245.06,USD,Web,Android,Islamabad,Completed,34095.13,1
OB000101,7/23/2025,C00188,Current,Transfer,1996.08,USD,Web,Android,Peshawar,Failed,31254.95,0
OB000102,3/15/2025,C00108,Current,Deposit,1741.33,USD,Mobile App,iOS,Lahore,Failed,21085.88,0
OB000103,12/25/2025,C00086,Savings,Withdrawal,3533.49,USD,Web,Android,Islamabad,Pending,8127.06,0
OB000104,8/3/2025,C00294,Current,Withdrawal,1913.05,USD,Mobile App,Desktop,Islamabad,Completed,6314.79,0
OB000105,5/4/2025,C00370,Current,Withdrawal,492.11,USD,Mobile App,iOS,Peshawar,Pending,49101.18,0
OB000106,3/20/2025,C00070,Savings,Bill Payment,2312.15,USD,Mobile App,Android,Karachi,Failed,43648.52,0
OB000107,5/20/2025,C00337,Savings,Transfer,1787.43,USD,Web,Android,Islamabad,Completed,7227.96,0
OB000108,2/15/2025,C00375,Savings,Withdrawal,90.04,USD,Web,iOS,Peshawar,Completed,13339.95,1
OB000109,8/28/2025,C00064,Savings,Transfer,592.38,USD,Web,Desktop,Islamabad,Pending,35879.74,0
OB000110,6/8/2025,C00170,Current,Transfer,3627.33,USD,Mobile App,Android,Karachi,Failed,16455.32,1
OB000111,7/28/2025,C00011,Current,Deposit,4928.3,USD,Web,Desktop,Islamabad,Failed,38210.64,0
OB000112,12/23/2025,C00166,Current,Bill Payment,2172.9,USD,Mobile App,iOS,Karachi,Completed,11961.62,0
OB000113,7/21/2025,C00175,Savings,Transfer,1330.8,USD,Web,Android,Karachi,Failed,3967.39,0
OB000114,3/15/2025,C00091,Current,Transfer,1644.04,USD,Web,Desktop,Lahore,Completed,35633.95,1
OB000115,6/4/2025,C00088,Current,Deposit,2163.6,USD,Web,Android,Karachi,Completed,17409.67,0
OB000116,2/24/2025,C00284,Savings,Deposit,4285.53,USD,Web,Android,Islamabad,Failed,48082.44,0
OB000117,8/10/2025,C00157,Current,Transfer,1676.12,USD,Web,Desktop,Lahore,Failed,24075.46,0
OB000118,1/6/2025,C00235,Current,Withdrawal,3207,USD,Mobile App,Desktop,Islamabad,Completed,16412.18,0
OB000119,1/27/2025,C00213,Savings,Bill Payment,3070.57,USD,Mobile App,Desktop,Karachi,Completed,46777.8,0
OB000120,1/9/2025,C00287,Savings,Transfer,579.37,USD,Mobile App,Android,Karachi,Completed,7034.15,0
OB000121,9/28/2025,C00214,Current,Deposit,691.9,USD,Mobile App,Android,Lahore,Completed,1002.55,0
OB000122,12/1/2025,C00168,Current,Transfer,2234.21,USD,Mobile App,Android,Islamabad,Completed,36581.88,0
OB000123,8/11/2025,C00358,Savings,Deposit,3413.26,USD,Mobile App,Desktop,Islamabad,Completed,37145.62,0
OB000124,12/5/2025,C00322,Savings,Transfer,3460.78,USD,Mobile App,Desktop,Karachi,Failed,27775.78,0
OB000125,6/11/2025,C00327,Current,Withdrawal,2621.97,USD,Mobile App,Android,Karachi,Completed,42105.35,0
OB000126,5/15/2025,C00355,Savings,Bill Payment,3023.83,USD,Web,iOS,Lahore,Failed,23767.43,1
OB000127,6/20/2025,C00073,Savings,Withdrawal,758.81,USD,Mobile App,Android,Islamabad,Pending,9516.97,1
OB000128,11/27/2025,C00317,Current,Deposit,3611.44,USD,Mobile App,Android,Islamabad,Completed,20246.35,0
OB000129,1/7/2025,C00109,Current,Withdrawal,2695.39,USD,Mobile App,Android,Lahore,Failed,23519.23,1
OB000130,9/9/2025,C00321,Current,Transfer,844.61,USD,Mobile App,Desktop,Lahore,Completed,21989.35,0
OB000131,3/2/2025,C00103,Savings,Withdrawal,2363.55,USD,Mobile App,iOS,Peshawar,Failed,18084.54,0
OB000132,9/8/2025,C00393,Savings,Transfer,2001.67,USD,Web,iOS,Peshawar,Completed,44092.43,0
OB000133,7/23/2025,C00398,Current,Transfer,4028.34,USD,Web,Desktop,Lahore,Failed,47458.22,0
OB000134,2/21/2025,C00280,Current,Deposit,4065.91,USD,Web,Desktop,Peshawar,Pending,22317.98,0
OB000135,8/7/2025,C00058,Current,Withdrawal,2098.36,USD,Web,Android,Lahore,Completed,9513.12,0
OB000136,3/8/2025,C00299,Savings,Deposit,1553.34,USD,Mobile App,Desktop,Islamabad,Failed,47972.76,0
OB000137,1/22/2025,C00040,Savings,Withdrawal,2044.12,USD,Web,Desktop,Karachi,Failed,18891.63,1
OB000138,1/20/2025,C00310,Current,Transfer,27.64,USD,Web,Desktop,Karachi,Pending,20989.54,0
OB000139,3/7/2025,C00102,Savings,Deposit,3977.13,USD,Web,Desktop,Karachi,Failed,30398.57,1
OB000140,1/18/2025,C00034,Current,Deposit,3647.47,USD,Mobile App,Android,Islamabad,Completed,4807.72,0
OB000141,8/15/2025,C00173,Savings,Deposit,3076.41,USD,Mobile App,Desktop,Peshawar,Completed,41493.25,0
OB000142,3/26/2025,C00059,Savings,Bill Payment,184.21,USD,Web,iOS,Karachi,Failed,3701.06,1
OB000143,4/2/2025,C00156,Savings,Transfer,1295.37,USD,Mobile App,iOS,Karachi,Pending,49155.3,0
OB000144,1/16/2025,C00082,Current,Withdrawal,4343.74,USD,Mobile App,iOS,Karachi,Pending,13429.78,1
OB000145,11/19/2025,C00131,Savings,Bill Payment,1608.8,USD,Mobile App,Desktop,Karachi,Failed,25680.24,1
OB000146,9/10/2025,C00192,Current,Transfer,935.24,USD,Web,Desktop,Lahore,Pending,7894.68,1
OB000147,7/13/2025,C00297,Savings,Withdrawal,247.18,USD,Web,Desktop,Peshawar,Completed,15077.19,0
OB000148,11/1/2025,C00180,Savings,Transfer,2660.5,USD,Web,Desktop,Islamabad,Completed,10969.4,1
OB000149,8/22/2025,C00287,Savings,Withdrawal,3034.44,USD,Mobile App,Desktop,Peshawar,Completed,17499.78,0
OB000150,4/22/2025,C00265,Savings,Bill Payment,432.52,USD,Mobile App,iOS,Lahore,Completed,26264.38,0
OB000151,3/12/2025,C00330,Current,Deposit,454.99,USD,Web,Desktop,Islamabad,Completed,33461.91,0
OB000152,3/25/2025,C00128,Savings,Deposit,73.28,USD,Web,iOS,Peshawar,Completed,41064.31,0
OB000153,6/8/2025,C00241,Current,Bill Payment,3066.55,USD,Web,iOS,Islamabad,Failed,24869.55,0
OB000154,5/17/2025,C00157,Savings,Bill Payment,637.73,USD,Mobile App,iOS,Karachi,Failed,39581.67,0
OB000155,12/19/2025,C00187,Current,Deposit,276.54,USD,Mobile App,iOS,Lahore,Completed,44700.75,0
OB000156,10/22/2025,C00033,Current,Transfer,2519.71,USD,Mobile App,Desktop,Lahore,Pending,43299.37,1
OB000157,9/19/2025,C00154,Current,Deposit,3348.25,USD,Mobile App,iOS,Peshawar,Completed,38871.34,0
OB000158,5/18/2025,C00003,Savings,Deposit,694.1,USD,Mobile App,Desktop,Peshawar,Pending,38281.78,0
OB000159,5/19/2025,C00123,Savings,Deposit,1756.82,USD,Mobile App,Desktop,Karachi,Failed,44804.6,1
OB000160,10/26/2025,C00352,Current,Transfer,2205.93,USD,Mobile App,iOS,Peshawar,Failed,15616.62,0
OB000161,1/25/2025,C00190,Current,Transfer,3826.35,USD,Web,iOS,Peshawar,Pending,7423.54,0
OB000162,5/14/2025,C00014,Savings,Withdrawal,1520.33,USD,Web,Desktop,Lahore,Failed,4727.56,1
OB000163,7/14/2025,C00293,Savings,Bill Payment,4173.15,USD,Mobile App,Android,Karachi,Completed,23484.6,0
OB000164,10/8/2025,C00155,Current,Deposit,2652.99,USD,Mobile App,Desktop,Lahore,Completed,30248,1
OB000165,3/28/2025,C00242,Current,Deposit,4017.44,USD,Web,Android,Peshawar,Failed,46063.57,0
OB000166,11/20/2025,C00384,Savings,Bill Payment,2476.19,USD,Web,iOS,Islamabad,Failed,30588.65,0
OB000167,1/17/2025,C00359,Current,Deposit,1537.22,USD,Web,Desktop,Lahore,Pending,37994.11,0
OB000168,11/12/2025,C00201,Savings,Withdrawal,1095.1,USD,Mobile App,Android,Islamabad,Completed,23657.61,0
OB000169,3/6/2025,C00007,Current,Deposit,4672.43,USD,Web,Android,Karachi,Pending,12429.91,0
OB000170,12/15/2025,C00399,Savings,Bill Payment,1286.54,USD,Mobile App,iOS,Peshawar,Failed,23721.51,0
OB000171,4/4/2025,C00021,Current,Deposit,3437.12,USD,Mobile App,iOS,Lahore,Pending,15872.65,0
OB000172,1/10/2025,C00037,Savings,Deposit,1918.9,USD,Web,Android,Lahore,Pending,31845.73,1
OB000173,6/27/2025,C00120,Current,Deposit,250.7,USD,Web,iOS,Lahore,Pending,37774.68,0
OB000174,5/8/2025,C00122,Current,Bill Payment,739.73,USD,Web,iOS,Islamabad,Completed,33917.11,0
OB000175,12/7/2025,C00108,Current,Withdrawal,2250.13,USD,Mobile App,iOS,Peshawar,Completed,35580.38,0
OB000176,4/11/2025,C00349,Current,Transfer,2764.22,USD,Mobile App,Desktop,Lahore,Completed,21031.37,1
OB000177,10/2/2025,C00204,Savings,Withdrawal,2544.49,USD,Web,Android,Lahore,Pending,38322.45,1
OB000178,1/4/2025,C00042,Current,Withdrawal,1852.97,USD,Web,iOS,Karachi,Completed,43217.26,0
OB000179,3/12/2025,C00022,Current,Withdrawal,2721.56,USD,Web,Desktop,Lahore,Pending,29128.86,1
OB000180,10/5/2025,C00292,Current,Deposit,537.38,USD,Web,Android,Islamabad,Completed,35641.95,0
OB000181,9/16/2025,C00098,Current,Bill Payment,3059.55,USD,Mobile App,Android,Lahore,Completed,38792.22,0
OB000182,12/6/2025,C00279,Savings,Deposit,2890.37,USD,Web,iOS,Islamabad,Failed,47569.52,0
OB000183,8/19/2025,C00137,Current,Withdrawal,546.37,USD,Mobile App,iOS,Peshawar,Failed,24197.46,0
OB000184,6/23/2025,C00195,Current,Bill Payment,951.14,USD,Web,Desktop,Peshawar,Completed,42259.86,0
OB000185,3/23/2025,C00141,Current,Withdrawal,4796.31,USD,Mobile App,Android,Peshawar,Failed,14157.97,0
OB000186,8/18/2025,C00098,Savings,Transfer,3924.73,USD,Mobile App,Android,Karachi,Completed,22925,1
OB000187,5/25/2025,C00139,Current,Withdrawal,1868.75,USD,Mobile App,Android,Peshawar,Pending,47873.46,1
OB000188,4/13/2025,C00014,Current,Withdrawal,964.2,USD,Web,Desktop,Karachi,Pending,18157.5,0
OB000189,10/7/2025,C00243,Savings,Deposit,4577.79,USD,Mobile App,Desktop,Islamabad,Completed,12187.14,1
OB000190,10/21/2025,C00061,Savings,Withdrawal,161.99,USD,Web,Desktop,Islamabad,Pending,41781.1,0
OB000191,3/22/2025,C00266,Current,Transfer,1903.94,USD,Web,Android,Islamabad,Pending,37917.39,0
OB000192,7/10/2025,C00044,Savings,Deposit,3748.38,USD,Mobile App,Desktop,Lahore,Completed,7111.64,0
OB000193,3/15/2025,C00205,Current,Deposit,2025.14,USD,Web,Desktop,Lahore,Completed,17490.78,0
OB000194,3/22/2025,C00068,Savings,Withdrawal,2527.3,USD,Web,iOS,Peshawar,Pending,17083.77,0
OB000195,1/14/2025,C00375,Current,Bill Payment,4134.47,USD,Mobile App,Android,Lahore,Pending,6555.2,0
OB000196,6/4/2025,C00080,Savings,Withdrawal,3629.39,USD,Mobile App,iOS,Islamabad,Failed,48933.49,0
OB000197,5/23/2025,C00053,Savings,Deposit,4926.24,USD,Web,iOS,Karachi,Completed,11669.88,0
OB000198,1/19/2025,C00206,Savings,Transfer,851.11,USD,Mobile App,Desktop,Lahore,Completed,25877.03,1
OB000199,12/19/2025,C00226,Current,Bill Payment,3928.05,USD,Web,iOS,Peshawar,Pending,10631.68,0
OB000200,1/19/2025,C00169,Savings,Bill Payment,116.21,USD,Web,Desktop,Karachi,Pending,19946.15,1
OB000201,1/21/2025,C00167,Current,Withdrawal,2095.43,USD,Mobile App,Android,Karachi,Completed,1524.25,0
OB000202,7/3/2025,C00267,Current,Transfer,3102.37,USD,Web,Android,Lahore,Failed,18543.82,0
OB000203,8/22/2025,C00093,Savings,Bill Payment,3555.28,USD,Mobile App,iOS,Lahore,Pending,44099.51,1
OB000204,8/24/2025,C00106,Current,Bill Payment,1721.12,USD,Web,iOS,Karachi,Completed,11336.96,0
OB000205,7/14/2025,C00146,Savings,Transfer,3081.52,USD,Mobile App,Android,Karachi,Failed,6976.74,0
OB000206,5/17/2025,C00006,Savings,Transfer,4099.01,USD,Mobile App,Desktop,Islamabad,Failed,3049.06,0
OB000207,10/4/2025,C00133,Savings,Transfer,1767.18,USD,Web,iOS,Islamabad,Completed,13059.89,0
OB000208,10/20/2025,C00400,Savings,Withdrawal,251,USD,Web,Android,Islamabad,Completed,29157.53,0
OB000209,10/22/2025,C00123,Savings,Deposit,2045.95,USD,Mobile App,iOS,Islamabad,Completed,42496.16,0
OB000210,7/11/2025,C00398,Current,Transfer,3963.51,USD,Web,Desktop,Karachi,Completed,39835.08,0
OB000211,8/25/2025,C00225,Current,Transfer,4349.13,USD,Mobile App,Desktop,Peshawar,Pending,43895.84,0
OB000212,1/26/2025,C00109,Current,Bill Payment,971.41,USD,Web,iOS,Islamabad,Failed,16599.54,1
OB000213,10/13/2025,C00372,Savings,Withdrawal,3027.64,USD,Web,iOS,Lahore,Completed,45603.25,0
OB000214,4/25/2025,C00124,Savings,Deposit,4809.82,USD,Mobile App,iOS,Lahore,Pending,4962.44,1
OB000215,11/18/2025,C00270,Current,Transfer,3791.74,USD,Web,iOS,Islamabad,Failed,21303.71,0
OB000216,1/6/2025,C00109,Savings,Deposit,2937.62,USD,Mobile App,Android,Karachi,Completed,36642.75,0
OB000217,12/1/2025,C00097,Savings,Withdrawal,2051.94,USD,Mobile App,iOS,Lahore,Failed,5565.59,0
OB000218,3/12/2025,C00118,Current,Transfer,4300.85,USD,Web,iOS,Peshawar,Failed,6750.27,1
OB000219,7/12/2025,C00118,Current,Deposit,909.75,USD,Mobile App,Desktop,Karachi,Failed,44767.38,0
OB000220,1/25/2025,C00153,Current,Bill Payment,4514.51,USD,Web,iOS,Islamabad,Failed,27011.89,0
OB000221,10/14/2025,C00197,Current,Deposit,612.93,USD,Mobile App,iOS,Islamabad,Completed,12119.1,1
OB000222,10/26/2025,C00169,Savings,Transfer,3334.98,USD,Mobile App,iOS,Islamabad,Failed,32093.27,1
OB000223,2/19/2025,C00256,Current,Deposit,959.62,USD,Web,iOS,Karachi,Pending,2317.82,0
OB000224,11/9/2025,C00218,Savings,Deposit,3305.23,USD,Web,Desktop,Islamabad,Completed,24778.9,0
OB000225,9/21/2025,C00347,Current,Bill Payment,4755.2,USD,Mobile App,iOS,Peshawar,Pending,41962.11,1
OB000226,7/15/2025,C00121,Current,Transfer,3469.17,USD,Mobile App,iOS,Peshawar,Failed,41821.92,0
OB000227,3/23/2025,C00382,Savings,Deposit,2956.23,USD,Web,Android,Islamabad,Completed,15264.33,1
OB000228,5/21/2025,C00380,Current,Withdrawal,958.82,USD,Web,Desktop,Peshawar,Pending,46246.45,0
OB000229,11/22/2025,C00316,Savings,Withdrawal,3447.76,USD,Web,Android,Islamabad,Failed,191.86,0
OB000230,5/14/2025,C00053,Current,Deposit,3643.28,USD,Mobile App,iOS,Islamabad,Pending,12587.05,1
OB000231,10/26/2025,C00229,Savings,Withdrawal,935.13,USD,Web,iOS,Peshawar,Pending,33504.76,1
OB000232,4/18/2025,C00373,Current,Withdrawal,900.08,USD,Web,iOS,Islamabad,Completed,3506.97,1
OB000233,1/6/2025,C00243,Savings,Bill Payment,4827.8,USD,Mobile App,Desktop,Islamabad,Failed,43471.04,0
OB000234,1/15/2025,C00324,Savings,Bill Payment,2806.19,USD,Mobile App,Desktop,Lahore,Failed,26412.64,0
OB000235,2/20/2025,C00216,Savings,Deposit,1825.43,USD,Mobile App,Android,Karachi,Failed,13343.84,0
OB000236,10/1/2025,C00281,Savings,Withdrawal,3470.86,USD,Web,Android,Peshawar,Completed,32857.55,0
OB000237,12/8/2025,C00020,Savings,Withdrawal,647.99,USD,Web,Desktop,Islamabad,Failed,48208.37,0
OB000238,6/16/2025,C00211,Current,Deposit,3122.94,USD,Web,iOS,Lahore,Completed,4781.98,0
OB000239,8/11/2025,C00360,Current,Transfer,3006.91,USD,Mobile App,Android,Islamabad,Pending,6424.93,0
